,2008,2009,2010,2011,2012,2013,2014,2015,2016,Median Household Income (2015),% of State Median HH Income
Ohio,6.4,10.3,10.3,8.8,7.4,7.5,5.8,4.9,4.9,"$51,086 ",100.00%
Adams County,9.3,14.7,15.9,14.3,12.6,12.7,9.2,7.8,7.5,"$36,609 ",71.70%
Allen County,7.4,11.3,10.7,9.5,7.7,7.8,5.8,4.8,5,"$49,297 ",96.50%
Ashland County,7.5,12.5,11.9,9.9,8,8.1,6,5,5,"$48,338 ",94.60%
Ashtabula County,8,13.6,12.9,10.9,9.4,9.5,7.2,6,6,"$44,258 ",86.60%
Athens County,6.7,8.8,10.6,9.9,8.5,9,6.9,6.2,6.2,"$38,400 ",75.20%
Auglaize County,5.4,10.7,10,8.1,6.2,5.9,4.3,3.7,3.7,"$58,840 ",115.20%
Belmont County,6.1,9.2,11.3,9.5,8.2,8.3,6.7,6.3,7.4,"$45,675 ",89.40%
Brown County,7.6,12.8,13.3,11.9,10,10.2,7.5,6.2,5.7,"$47,202 ",92.40%
Butler County,5.9,9.6,10,9.1,7.7,7.5,5.5,4.6,4.4,"$58,954 ",115.40%
Carroll County,7.6,13.7,13,10.2,7.9,7.9,6.1,6,6.8,"$52,166 ",102.10%
Champaign County,7,11.9,11.5,9.4,7.4,6.9,5.1,4.4,4.5,"$58,837 ",115.20%
Clark County,6.7,10.6,11,9.5,7.8,7.5,5.8,5,5.2,"$47,651 ",93.30%
Clermont County,5.9,9.8,10.4,9.1,7.4,7.4,5.5,4.5,4.4,"$62,214 ",121.80%
Clinton County,6,14.8,17,13.5,10.7,10.5,7.7,6.2,5.8,"$47,055 ",92.10%
Columbiana County,7.2,13.4,12.6,10.2,8.2,8.3,6.5,5.9,6.6,"$42,301 ",82.80%
Coshocton County,8.6,13.5,12.7,11.5,10.1,9.8,7.5,6.4,7,"$41,643 ",81.50%
Crawford County,8.7,14.8,12.9,11.5,9.1,9.2,6.7,5.8,6,"$41,471 ",81.20%
Cuyahoga County,6.2,8.7,8.5,7.6,6.8,7,6.3,5.2,5.4,"$45,506 ",89.10%
Darke County,6.4,11.4,11.2,9.3,7.2,7,5.3,4.3,4.1,"$51,131 ",100.10%
Defiance County,7.5,14.1,12.2,9.6,7.7,7.5,5.5,4.9,4.8,"$53,936 ",105.60%
Delaware County,4.6,7.1,7.2,6.2,5.2,5.3,4.1,3.5,3.5,"$97,679 ",191.20%
Erie County,7.3,11.8,11.3,9.5,8,8.1,6.4,5.5,5.5,"$48,129 ",94.20%
Fairfield County,5.7,8.7,9.2,8,6.6,6.7,5.2,4.3,4.2,"$61,450 ",120.30%
Fayette County,5.7,11.2,13.1,10.5,8.3,7.7,6,4.9,4.4,"$45,068 ",88.20%
Franklin County,5.5,8.5,8.9,7.8,6.4,6.4,4.9,4.1,4,"$53,939 ",105.60%
Fulton County,8.2,13.9,11.8,9.6,7.7,7.9,5.9,4.9,4.6,"$58,782 ",115.10%
Gallia County,6.6,9.5,11.8,11.2,9.7,9.7,7.7,6.5,6.7,"$38,738 ",75.80%
Geauga County,5,6.9,6.9,6,5.3,5.7,5,4.2,4.4,"$76,315 ",149.40%
Greene County,6.2,9.8,9.5,8.3,6.9,7,5.2,4.4,4.3,"$61,250 ",119.90%
Guernsey County,8.6,12.2,12.7,10.8,9,8.7,6.7,6.2,7,"$41,630 ",81.50%
Hamilton County,5.7,9.1,9.9,8.9,7.4,7.3,5.5,4.5,4.3,"$51,070 ",100.00%
