County,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2011-2016 Total,Cude Rate,Age Adjusted Rate
MONTGOMERY,127,116,125,130,145,121,113,119,150,199,251,239,320,1278,40,42.5
BROWN,8,5,5,10,12,13,17,11,14,17,17,23,18,100,37.7,41
BUTLER,21,31,47,45,55,68,59,80,92,120,151,195,211,849,37.9,40.5
CLERMONT,25,22,31,36,38,32,49,49,56,65,80,105,96,451,37.5,39.5
ADAMS,1,6,6,5,6,10,6,6,10,6,10,12,12,56,33.1,37.2
CLARK,25,15,18,20,19,19,19,34,36,28,38,71,73,280,34.2,36.6
TRUMBULL,38,29,30,58,41,43,43,57,34,37,54,89,111,382,31,34.2
SCIOTO,14,17,15,19,20,24,22,25,17,18,23,30,35,148,31.8,34.1
CLINTON,12,4,6,8,10,11,3,6,13,16,13,20,12,80,31.8,34
ROSS,7,14,11,19,20,24,17,18,12,15,29,38,40,152,32.8,33.4
MARION,5,7,3,8,9,9,8,13,19,18,27,22,24,123,31.2,31.7
FAYETTE,4,3,5,5,2,4,3,5,5,4,12,16,7,49,28.4,31
HAMILTON,72,86,98,96,113,101,110,150,159,212,248,335,318,1422,29.4,30.2
JEFFERSON,9,12,12,9,15,23,13,25,14,17,21,16,14,107,26.3,29.7
PREBLE,1,4,3,7,11,9,7,5,11,6,8,15,21,66,26.4,28.9
JACKSON,4,4,14,7,8,5,7,8,9,12,8,9,7,53,26.9,28.3
PIKE,0,3,2,6,4,9,4,13,3,6,5,11,7,45,26.5,28.3
ERIE,2,3,4,5,6,6,18,12,12,16,17,23,37,117,25.7,27.9
LAWRENCE,7,5,7,8,13,11,9,17,10,9,8,23,27,94,25.4,26.9
RICHLAND,8,13,16,10,12,18,14,15,11,22,31,36,68,183,25,26.7
ASHTABULA,8,6,5,7,10,11,18,18,26,15,27,21,39,146,24.5,26.6
LORAIN,12,13,18,16,18,25,21,25,70,69,71,63,146,444,24.4,26.2
LAKE,13,18,29,26,15,20,39,42,48,43,53,50,94,330,24,25.6
SUMMIT,60,50,53,66,46,54,66,56,91,76,118,173,298,812,25,25.5
COLUMBIANA,4,1,7,7,8,9,8,18,17,27,19,30,39,150,23.7,25.3
MAHONING,16,29,25,25,42,38,48,47,48,41,48,60,83,327,23.3,25.1
GALLIA,3,4,6,2,4,5,3,6,3,7,6,9,11,42,23,25
DARKE,6,4,1,7,9,3,5,5,9,9,11,13,19,66,21,24.9
LUCAS,21,49,44,75,73,49,54,57,88,72,115,118,157,607,23.2,24.1
CUYAHOGA,114,115,168,134,144,144,159,212,230,255,255,275,547,1774,23.5,23.4
HURON,1,5,5,6,5,8,4,8,8,14,17,10,16,73,20.7,22.6
MEIGS,0,2,5,3,1,2,3,5,2,4,4,3,9,27,19.2,22
GREENE,16,19,21,16,31,21,27,23,23,21,40,43,44,194,19.7,21.3
MIAMI,8,11,8,10,20,15,14,12,16,12,19,17,39,115,18.5,20.5
GUERNSEY,2,2,0,3,2,4,12,3,3,7,9,9,13,44,18.5,20.4
SANDUSKY,5,1,7,8,9,2,4,11,4,5,13,12,22,67,18.6,20.3
CHAMPAIGN,2,0,4,1,4,1,7,6,6,4,11,6,10,43,18.2,20
HIGHLAND,2,6,4,4,4,5,6,7,3,8,12,9,6,45,17.4,20
SHELBY,4,2,3,7,12,8,5,8,5,9,7,8,15,52,17.7,20
BELMONT,7,6,5,3,8,8,5,5,10,8,14,18,20,75,18,19.8
